NTP Timestamp (ms),Arduino Timestamp (ms),Frequency (Hz)
2025-04-27 21:53:43.847,10020,50.0800
2025-04-27 21:53:44.281,10040,50.0900
2025-04-27 21:53:44.336,10060,50.1200
2025-04-27 21:53:44.381,10080,50.0400
2025-04-27 21:53:44.430,10100,50.1100
2025-04-27 21:53:44.478,10120,50.0900
2025-04-27 21:53:44.526,10140,50.0600
2025-04-27 21:53:44.577,10160,50.1400
2025-04-27 21:53:44.630,10180,50.0800
2025-04-27 21:53:44.676,10200,50.0500
2025-04-27 21:53:44.724,10220,50.1300
2025-04-27 21:53:44.769,10240,50.1100
2025-04-27 21:53:44.817,10260,50.0400
2025-04-27 21:53:44.866,10280,50.1000
2025-04-27 21:53:44.915,10300,50.0900
2025-04-27 21:53:44.969,10320,50.0400
2025-04-27 21:53:45.018,10340,50.1300
2025-04-27 21:53:45.061,10360,50.0700
2025-04-27 21:53:45.118,10380,50.0900
2025-04-27 21:53:45.163,10400,50.1300
2025-04-27 21:53:45.221,10420,50.0400
2025-04-27 21:53:45.262,10440,50.0900
2025-04-27 21:53:45.319,10460,50.1400
2025-04-27 21:53:45.370,10480,50.0300
2025-04-27 21:53:45.426,10500,50.0600
2025-04-27 21:53:45.472,10520,50.1600
2025-04-27 21:53:45.513,10540,50.0500
2025-04-27 21:53:45.561,10560,50.0800
2025-04-27 21:53:45.611,10580,50.1300
2025-04-27 21:53:45.662,10600,50.0700
2025-04-27 21:53:45.706,10620,50.0700
2025-04-27 21:53:45.754,10640,50.1500
2025-04-27 21:53:45.801,10660,50.0600
2025-04-27 21:53:45.844,10680,50.1000
2025-04-27 21:53:45.912,10700,50.1400
2025-04-27 21:53:45.961,10720,50.0400
2025-04-27 21:53:46.011,10740,50.1200
2025-04-27 21:53:46.060,10760,50.1300
2025-04-27 21:53:46.109,10780,50.0400
2025-04-27 21:53:46.156,10800,50.1000
2025-04-27 21:53:46.206,10820,50.1000
2025-04-27 21:53:46.246,10840,50.0300
2025-04-27 21:53:46.296,10860,50.1200
2025-04-27 21:53:46.344,10880,50.0900
2025-04-27 21:53:46.393,10900,50.0500
2025-04-27 21:53:46.441,10920,50.0700
2025-04-27 21:53:46.490,10940,50.0900
2025-04-27 21:53:46.530,10960,50.0600
2025-04-27 21:53:46.572,10980,50.1400
2025-04-27 21:53:46.639,11000,50.0900
2025-04-27 21:53:46.685,11020,50.0600
2025-04-27 21:53:46.746,11040,50.1000
2025-04-27 21:53:46.792,11060,50.1000
2025-04-27 21:53:46.839,11080,50.0400
2025-04-27 21:53:46.886,11100,50.1300
2025-04-27 21:53:46.932,11120,50.1100
2025-04-27 21:53:46.978,11140,50.0300
2025-04-27 21:53:47.019,11160,50.1300
2025-04-27 21:53:47.071,11180,50.1000
2025-04-27 21:53:47.120,11200,50.0400
2025-04-27 21:53:47.180,11220,50.1100
2025-04-27 21:53:47.226,11240,50.1100
2025-04-27 21:53:47.265,11260,50.0300
2025-04-27 21:53:47.318,11280,50.1100
2025-04-27 21:53:47.356,11300,50.1100
2025-04-27 21:53:47.412,11320,50.0600
2025-04-27 21:53:47.456,11340,50.1100
2025-04-27 21:53:47.501,11360,50.1000
2025-04-27 21:53:47.544,11380,50.0400
2025-04-27 21:53:47.593,11400,50.1200
2025-04-27 21:53:47.634,11420,50.0800
2025-04-27 21:53:47.683,11440,50.0800
2025-04-27 21:53:47.731,11460,50.1400
2025-04-27 21:53:47.777,11480,50.0500
2025-04-27 21:53:47.822,11500,50.0500
2025-04-27 21:53:47.871,11520,50.1400
2025-04-27 21:53:47.917,11540,50.1000
2025-04-27 21:53:47.960,11560,50.0400
2025-04-27 21:53:48.014,11580,50.1100
2025-04-27 21:53:48.059,11600,50.0900
2025-04-27 21:53:48.105,11620,50.0600
2025-04-27 21:53:48.148,11640,50.1400
2025-04-27 21:53:48.196,11660,50.0800
2025-04-27 21:53:48.238,11680,50.0500
2025-04-27 21:53:48.304,11700,50.1200
2025-04-27 21:53:48.368,11720,50.0800
2025-04-27 21:53:48.417,11740,50.0800
2025-04-27 21:53:48.460,11760,50.1000
2025-04-27 21:53:48.507,11780,50.1000
2025-04-27 21:53:48.550,11800,50.0300
2025-04-27 21:53:48.599,11820,50.1300
2025-04-27 21:53:48.646,11840,50.0700
2025-04-27 21:53:48.692,11860,50.0700
2025-04-27 21:53:48.768,11880,50.1300
2025-04-27 21:53:48.814,11900,50.0800
2025-04-27 21:53:48.860,11920,50.0700
2025-04-27 21:53:48.911,11940,50.1400
2025-04-27 21:53:48.959,11960,50.0700
2025-04-27 21:53:49.016,11980,50.0800
2025-04-27 21:53:49.065,12000,50.1400
2025-04-27 21:53:49.111,12020,50.0500
2025-04-27 21:53:49.160,12040,50.0900
2025-04-27 21:53:49.208,12060,50.1200
2025-04-27 21:53:49.250,12080,50.0500
2025-04-27 21:53:49.303,12100,50.1100
2025-04-27 21:53:49.349,12120,50.1000
