NTP Timestamp (ms),Arduino Timestamp (ms),Frequency (Hz)
2025-04-23 23:37:24.210,10020,50.1000
2025-04-23 23:37:24.226,10040,50.1100
2025-04-23 23:37:24.257,10060,50.1000
2025-04-23 23:37:24.280,10080,50.1100
2025-04-23 23:37:24.301,10100,50.0900
2025-04-23 23:37:24.316,10120,50.1100
2025-04-23 23:37:24.342,10140,50.1000
2025-04-23 23:37:24.362,10160,50.1000
2025-04-23 23:37:24.382,10180,50.1100
2025-04-23 23:37:24.399,10200,50.1100
2025-04-23 23:37:24.419,10220,50.1000
2025-04-23 23:37:24.433,10240,50.1100
2025-04-23 23:37:24.459,10260,50.1100
2025-04-23 23:37:24.475,10280,50.1000
2025-04-23 23:37:24.501,10300,50.1100
2025-04-23 23:37:24.521,10320,50.1000
2025-04-23 23:37:24.542,10340,50.1100
2025-04-23 23:37:24.558,10360,50.1100
2025-04-23 23:37:24.574,10380,50.1100
2025-04-23 23:37:24.595,10400,50.0900
2025-04-23 23:37:24.620,10420,50.1100
2025-04-23 23:37:24.636,10440,50.1100
2025-04-23 23:37:24.662,10460,50.1100
2025-04-23 23:37:24.681,10480,50.1000
2025-04-23 23:37:24.699,10500,50.1100
2025-04-23 23:37:24.718,10520,50.0900
2025-04-23 23:37:24.733,10540,50.1100
2025-04-23 23:37:24.761,10560,50.1100
2025-04-23 23:37:24.778,10580,50.1100
2025-04-23 23:37:24.801,10600,50.1100
2025-04-23 23:37:24.820,10620,50.1000
2025-04-23 23:37:24.842,10640,50.0900
2025-04-23 23:37:24.857,10660,50.1200
2025-04-23 23:37:24.880,10680,50.1100
2025-04-23 23:37:24.901,10700,50.1100
2025-04-23 23:37:24.919,10720,50.1000
2025-04-23 23:37:24.936,10740,50.1000
2025-04-23 23:37:24.960,10760,50.1000
2025-04-23 23:37:24.978,10780,50.1100
2025-04-23 23:37:24.998,10800,50.1200
2025-04-23 23:37:25.021,10820,50.1000
2025-04-23 23:37:25.041,10840,50.0900
2025-04-23 23:37:25.062,10860,50.1000
2025-04-23 23:37:25.080,10880,50.1200
2025-04-23 23:37:25.100,10900,50.1100
2025-04-23 23:37:25.119,10920,50.1100
2025-04-23 23:37:25.133,10940,50.1000
2025-04-23 23:37:25.159,10960,50.1000
2025-04-23 23:37:25.182,10980,50.1000
2025-04-23 23:37:25.201,11000,50.1200
2025-04-23 23:37:25.215,11020,50.1000
2025-04-23 23:37:25.241,11040,50.1100
2025-04-23 23:37:25.261,11060,50.1100
2025-04-23 23:37:25.279,11080,50.0800
2025-04-23 23:37:25.300,11100,50.1200
2025-04-23 23:37:25.318,11120,50.1100
2025-04-23 23:37:25.334,11140,50.1100
2025-04-23 23:37:25.362,11160,50.1000
2025-04-23 23:37:25.377,11180,50.1000
2025-04-23 23:37:25.401,11200,50.1100
2025-04-23 23:37:25.417,11220,50.1100
2025-04-23 23:37:25.441,11240,50.1100
2025-04-23 23:37:25.461,11260,50.1100
2025-04-23 23:37:25.477,11280,50.1000
2025-04-23 23:37:25.502,11300,50.1000
2025-04-23 23:37:25.518,11320,50.1200
2025-04-23 23:37:25.537,11340,50.1100
2025-04-23 23:37:25.561,11360,50.1000
2025-04-23 23:37:25.583,11380,50.1000
2025-04-23 23:37:25.601,11400,50.1000
2025-04-23 23:37:25.615,11420,50.1200
2025-04-23 23:37:25.634,11440,50.1100
2025-04-23 23:37:25.659,11460,50.1100
2025-04-23 23:37:25.675,11480,50.1000
2025-04-23 23:37:25.701,11500,50.1000
